cluster,gene,rank,score,logfoldchange,pval,pval_adj
3,DOCK8,1,35.606884,8.9548645,1.0961797010724814e-277,5.670537593647947e-274
3,PLXDC2,2,35.499107,4.34759,5.073810426547351e-276,1.5748092801917667e-272
3,APBB1IP,3,34.126995,9.3513565,2.9344032919985324e-255,5.692375586065653e-252
3,ARHGAP24,4,33.987965,6.2454267,3.355045913209784e-253,5.785217503011404e-250
3,SFMBT2,5,33.763336,4.641228,6.812522011728795e-250,9.611229918183561e-247
3,TBXAS1,6,33.528915,7.7783856,1.8271218130164395e-246,2.1811618012463172e-243
3,DOCK4,7,33.358932,2.6620576,5.405984129416638e-244,5.992533407458344e-241
3,SRGAP2,8,33.296673,4.81265,4.3137578125971427e-243,4.4630138329130037e-240
3,FOXN3,9,33.231155,3.6743221,3.821366548693853e-242,3.706486716823744e-239
3,MEF2A,10,32.936195,3.8973725,6.669060794914156e-238,5.749841915348488e-235
3,FYB1,11,32.90659,8.358611,1.769068099358267e-237,1.4449562017863655e-234
3,ST6GAL1,12,32.61233,5.62964,2.7423124243524594e-233,2.1278973256762907e-230
3,INPP5D,13,32.530598,8.040482,3.938831726042918e-232,2.910796645545716e-229
3,SORL1,14,32.420322,4.2783685,1.419679441757986e-230,1.0014547843928265e-227
3,ITPR2,15,32.417896,3.917745,1.535884844984039e-230,1.0363216047524914e-227
3,ARHGAP15,16,32.088882,7.3662114,6.301660458141677e-226,3.761364178842334e-223
3,EPB41L2,17,31.793373,3.455728,7.992948454753141e-222,4.430091681046928e-219
3,RUNX1,18,31.746077,6.449312,3.5969214044127428e-221,1.924849078451081e-218
3,CHST11,19,31.622955,4.2169323,1.7856734239809588e-219,8.659958083362656e-217
3,MAML3,20,31.152239,4.663959,4.730098391455755e-213,2.1590116746177017e-210
3,LDLRAD4,21,31.038229,3.2879784,1.6447454392114492e-211,7.292801277463566e-209
3,FAM49B,22,30.847467,3.181851,6.057216407971065e-209,2.540593011764945e-206
3,SLCO2B1,23,30.734652,7.920351,1.9610205428431308e-207,7.803353283175011e-205
3,HS3ST4,24,30.707092,5.441697,4.576928450660507e-207,1.77573381564501e-204
3,DOCK2,25,30.689003,6.6660824,7.979853009265716e-207,3.0204716792876744e-204
3,SSH2,26,30.648542,2.624922,2.763469159123084e-206,1.0211018542959796e-203
3,ADAM28,27,30.616968,9.009514,7.277331761358011e-206,2.566747991011704e-203
3,FRMD4A,28,30.09774,3.3190536,5.1866830096719e-199,1.6098426725419644e-196
3,MEF2C,29,29.928328,3.4923902,8.424746913246959e-197,2.563600928366266e-194
3,CSF1R,30,29.865479,8.38874,5.527042053865196e-196,1.649503185267961e-193
3,ANKRD44,31,29.825361,3.2434897,1.8326378365058105e-195,5.366171053723335e-193
3,CYFIP1,32,29.810434,4.5899596,2.861417358052301e-195,8.223395551780308e-193
3,ATP8B4,33,29.689568,5.753662,1.047046896696656e-193,2.9543855981518916e-191
3,ETV6,34,29.447893,4.174717,1.3396659854715742e-190,3.523775665853112e-188
3,PTPRC,35,29.430107,8.748003,2.262860681243244e-190,5.852889152035651e-188
3,ARHGAP26,36,29.339092,3.1656582,3.292198551289323e-189,8.24058537378371e-187
3,AOAH,37,29.04775,5.5895386,1.642801460804192e-185,3.642090838602894e-183
3,AKAP13,38,28.993124,3.7790523,8.033310106691573e-185,1.7559005569823456e-182
3,BMP2K,39,28.892601,4.1525164,1.4789259141626348e-183,3.1877015641513785e-181
3,ABR,40,28.87737,3.2801518,2.2972959417269515e-183,4.883799413652131e-181
3,PALD1,41,28.818085,6.5758657,1.2731558910970123e-182,2.6700143613425044e-180
3,SYK,42,28.772947,8.344139,4.6778069386241535e-182,9.679318117401099e-180
3,LHFPL2,43,28.458952,4.614109,3.776113344530904e-178,7.51301320433014e-176
3,RHBDF2,44,28.371271,8.000765,4.575168803142153e-177,8.987600589362414e-175
3,SLC1A3,45,28.335434,3.7892206,1.2654560409403646e-176,2.4245200369572247e-174
